low_neuroticism,Activity,1028,Kids across the country can benefit from your innate stability and calm. The Big Brothers Big Sisters program can help you give back.,Big Brothers Big Sisters program,http://www.bbbs.org/site/c.9iILI3NGKhK6F/b.5962335/k.BE16/Home.htm
low_neuroticism,Website,1029,Easily track and manage your finances in one place.,Mint.com,https://www.mint.com
high_openness,Book,1030,You like to try new things. Break up a years worth of mundane daily routine with the 365 activities outlined in this hilarious book.,This Book Will Change Your Life,http://www.amazon.com/This-Book-Will-Change-Your/dp/0452284899
high_openness,Book,1031,"You're adventurous pioneer. Want to drop everything and explore the world for a week, a month, or for years? This book will help transform that dream into reality.",Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,http://www.amazon.com/Vagabonding-Uncommon-Guide-Long-Term-Travel/dp/0812992180%3FSubscriptionId%3DAKIAJASE6HSSVXTNREYQ%26tag%3Dfstchrm-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0812992180
high_openness,App,1032,"Find, track, and pay for easy transportation around participating cities with your smartphone.",SideCar,http://www.side.cr/
high_openness,Video,1033,A professor with three months to live delivers an inspiring speech on how to open your life and achieve your childhood dreams.,Randy Pausch Last Lecture: Achieving Your Childhood Dreams ,http://www.youtube.com/watch?v=ji5_MqicxSo
high_openness,Website,1034,Learn a new language through a series of free interactive games on your computer or your phone.,Duolingo,http://www.duolingo.com/
low_openness,Book,1035,A hilarious novel that shows the pitfalls of international travel and why sometimes staying at home is for the best.,Are You Experienced?,http://www.amazon.com/Are-You-Experienced-William-Sutcliffe/dp/0140283587
low_openness,App,1036,Traveling abroad? Translate signs and directions by taking a picture of the text with your iPhone's camera.,Word Lens,https://itunes.apple.com/us/app/word-lens/id383463868?mt=8
low_openness,Book,1037,This book confirms something you already know: developing routines and regular habits is advantageous in the workplace and in life.,The Power of Habit: Why We Do What We Do in Life and Business,http://www.amazon.com/The-Power-Habit-What-Business/dp/1400069289
low_openness,Book,1038,Learn how to alter detrimental habits in life and in the workplace by reading this book.,Switch: How to Change Things When Change Is Hard,http://www.amazon.com/Switch-Change-Things-When-Hard/dp/0385528752/ref=pd_sim_b_5
low_openness,Video,1039,"It turns out that the key to success, grit, comes with your personality type.",The key to success? Grit,http://www.ted.com/talks/angela_lee_duckworth_the_key_to_success_grit.html
high_agreeableness,Book,1040,Learn to frame your ideas to have maximal impact with this book.,Made to Stick: Why Some Ideas Survive and Others Die,http://www.amazon.com/Made-Stick-Ideas-Survive-Others/dp/1400064287
high_agreeableness,Video,1041,"This video demonstrates that a willingness to say ""yes"" and keeping focused on your end goal are the keys to success.",Neil Gaiman commencement speech ,http://www.youtube.com/watch?v=ikAb-NYkseI
high_agreeableness,Book,1042,Learn to negotiate effectively in order to maintain social harmony in the workplace.,Getting to Yes: Negotiating Agreement Without Giving In,http://www.amazon.com/Getting-Yes-Negotiating-Agreement-Without/dp/0143118757
high_agreeableness,Book,1043,Difficult conversations don't have to cause tension in the workplace. Follow the strategies in this book to conquer the conversations that most of us want to avoid.,Difficult Conversations: How to Discuss What Matters Most,http://www.amazon.com/Difficult-Conversations-Discuss-What-Matters/dp/0143118447/ref=pd_bxgy_b_text_z
high_agreeableness,Video,1044,"Watch this amusing movie, starring Jim Carrey, to see what happens when a man says ""yes"" to absolutely everything.",Yes Man,http://www.amazon.com/Yes-Man-Single-Disc-Edition-Carrey/dp/B001SN78JO/ref=sr_1_2?ie=UTF8&qid=1371097262&sr=8-2&keywords=yes+man
low_agreeableness,Book,1045,Learn how to influence groups and force them to get things done.,Social Engineering: The Art of Human Hacking,http://www.amazon.com/Social-Engineering-Art-Human-Hacking/dp/0470639539/ref=sr_1_1?s=books&ie=UTF8&qid=1371085563&sr=1-1&keywords=social+engineering
low_agreeableness,Book,1046,"Learn about the natural shortcuts in human cognition, and how to stop others from using these shortcomings to manipulate your choices.",Influence: The Psychology of Persuasion,http://www.amazon.com/Influence-Psychology-Persuasion-Business-Essentials/dp/006124189X
low_agreeableness,Book,1047,"Over fifty percent of communication is non-verbal, so why not become fluent in body language?",What Every BODY is Saying: An Ex-FBI Agent's Guide to Speed-Reading People,http://www.amazon.com/What-Every-BODY-Saying-Speed-Reading/dp/0061438294/ref=sr_1_4?s=books&ie=UTF8&qid=1371087076&sr=1-4&keywords=psychology
low_agreeableness,Course,1048,You have good ideas. This course will teach you to express them effectively.,Introduction to Public Speaking,https://www.coursera.org/course/publicspeak
low_agreeableness,Course,1049,You have the courage to go against the status quo. Learn to argue effectively so you can lead groups down more productive paths.,Think Again: How to Reason and Argue,https://www.coursera.org/course/thinkagain
