id,name_pair,size_weight,size_sd,size_mean,distance_weight,distance_sd,distance_mean,overlap_weight,overlap_sd,overlap_mean,maps_to
integer,string,float,float,float,float,float,float,float,float,float,string
11,Mechanical/Hands-on,0.9,1.9,3.11,-0.45,1.4,1.4,0.3,30.2,30,realistic
12,Creative/Intuitive,0.9,1.4,3.76,-0.45,1.3,1.6,0.3,21,20.3,artistic
13,Teacher/Helpful,0.9,1.4,3.69,-0.45,1.3,1.8,0.3,24.7,24.1,social
14,Persuasive/Enthusiastic,0.9,1.4,3.34,-0.45,1.2,2.6,0.3,29.9,27.5,enterprising
15,Inquisitive/Analytical,0.9,1.3,3.31,-0.45,1.4,2.8,0.3,33.7,31.5,investigative
16,Detail-Oriented/Thorough,0.9,1.3,3.53,-0.45,1.5,2.1,0.3,35.2,34.1,conventional
